LNAME,FNAME,ID
Bailey,Mark,bailm001
Bailey,Roger,bailr001
Bailey,Steve,bails102
Bailey,Sweetbread,bails101
Bailor,Bob,bailb001
Bain,Loren,bainl101
Baines,Harold,bainh001
Bair,Doug,baird001
Baird,Al,baira101
Baird,Bob,bairb101
Baird,Doug,baird101
Baird,John,bairj901
Baisley,Jeff,baisj001
Bajenaru,Jeff,bajej001
Bakenhaster,Dave,baked103
Baker,Al,bakea101
Baker,Bill,bakeb101
Baker,Bock,bakeb102
Baker,Charles,bakec901
Baker,Charlie,bakec102
Baker,Chuck,bakec101
Baker,Dave,baked101
Baker,Del,baked102
Baker,Doug,baked001
Baker,Dusty,baked002
Baker,Ernie,bakee101
Baker,Floyd,bakef103
Baker,Frank,bakef104
Baker,Frank,bakef101
Baker,Gene,bakeg101
Baker,George,bakeg102
Baker,Home Run,bakef102
Baker,Howard,bakeh101
Baker,Jack,bakej103
Baker,Jeff,bakej001
Baker,Jesse,bakej101
Baker,Jesse,bakej104
Baker,John,bakej002
Baker,Jordan,bakej902
Baker,Kirtley,bakek101
Baker,Neal,baken102
Baker,Norm,baken101
Baker,Phil,bakep101
Baker,Scott,bakes001
Baker,Scott,bakes002
Baker,Steve,bakes101
Baker,Tom,baket103
Baker,Tom,baket102
Baker,Tracy,baket101
Bakley,Jersey,bakej102
Bako,Paul,bakop001
Balas,Mike,balam101
Balaz,John,balaj101
Balboni,Steve,balbs001
Balcena,Bobby,balcb101
Baldelli,Rocco,baldr001
Baldschun,Jack,baldj101
Baldwin,Billy,baldb101
Baldwin,Dave,baldd101
Baldwin,Frank,baldf101
Baldwin,Harry,baldh101
Baldwin,Henry,baldh102
Baldwin,James,baldj002
Baldwin,Jeff,baldj001
Baldwin,Kid,baldk101
Baldwin,Lady,baldl101
Baldwin,Mark,baldm101
Baldwin,Orson,baldo101
Baldwin,Reggie,baldr102
Baldwin,Rick,baldr101
Bale,John,balej001
Balenti,Mike,balem101
Balentien,Wladimir,balew001
Bales,Lee,balel101
Balester,Collin,balec001
Balfour,Grant,balfg001
Ball,Art,balla101
Ball,Jeff,ballj003
Ball,Jim,ballj101
Ball,Neal,balln101
Ballanfant,Lee,balll901
Ballard,Jeff,ballj002
Ballenger,Pelham,ballp101
Baller,Jay,ballj001
Ballina,Frank,ballf901
Ballinger,Mark,ballm101
Ballou,Win,ballw101
Balsamo,Tony,balst101
Balsley,Darren,balsd801
Bamberger,George,bambg101
Bamberger,Hal,bambh101
Bancker,Studs,bancs101
Bancroft,Dave,bancd101
Bancroft,Frank,bancf801
Bando,Chris,bandc001
Bando,Sal,bands101
Bandy,Jett,bandj001
Bane,Eddie,banee101
Baney,Dick,baned101
Banister,Jeff,banij001
Bankhead,Dan,bankd101
Bankhead,Scott,banks001
Banks,Brian,bankb001
Banks,Ernie,banke101
Banks,George,bankg101
Banks,Josh,bankj001
Banks,Willie,bankw001
Bankston,Bill,bankb101
Bankston,Wes,bankw002
Banning,Jim,bannj102
Bannister,Alan,banna001
Bannister,Brian,bannb001
Bannister,Floyd,bannf001
Bannon,Jimmy,bannj101
Bannon,Tom,bannt101
Banta,Jack,bantj101
Bantz,Brandon,bantb001
Banuelos,Manny,banum001
Baptist,Travis,baptt001
Barajas,Rod,barar001
Barbare,Walter,barbw101
Barbary,Red,barbr101
Barbato,Johnny,barbj001
Barbeau,Jap,barbj101
Barbee,Dave,barbd101
Barber,Brian,barbb002
Barber,Charlie,barbc101
Barber,Sean,barbs901
Barber,Steve,barbs102
Barber,Steve,barbs101
Barber,Turner,barbt101
Barberich,Frank,barbf101
Barberie,Bret,barbb001
Barbieri,Jim,barbj102
Barcelo,Lorenzo,barcl001
Barclay,Curt,barcc101
Barclay,George,barcg101
Bard,Daniel,bardd001
Bard,Josh,bardj001
Barden,Brian,bardb001
Bare,Ray,barer101
Barfield,Jesse,barfj001
Barfield,John,barfj002
Barfield,Josh,barfj003
Barfoot,Clyde,barfc101
Bargar,Greg,bargg001
Barger,Cy,bargc101
Bark,Brian,barkb001
Barker,Al,barka101
Barker,Glen,barkg001
Barker,Kevin,barkk001
Barker,Len,barkl001
Barker,Ray,barkr102
Barker,Richie,barkr001
Barker,Sean,barks001
Barkett,Andy,barka001
Barkley,Brian,barkb002
Barkley,Jeff,barkj001
Barkley,Red,barkr101
Barkley,Sam,barks101
Barksdale,Lance,barkl901
Barlick,Al,barla901
Barlow,Mike,barlm101
Barlow,Tom,barlt101
Barmes,Bruce,barmb101
Barmes,Clint,barmc001
Barna,Babe,barnb102
Barnabe,Charlie,barnc101
Barnes,Austin,barna001
Barnes,Bill,barnb103
Barnes,Bob,barnb104
Barnes,Brandon,barnb002
Barnes,Brian,barnb001
Barnes,Danny,barnd002
Barnes,Eppie,barne101
Barnes,Frank,barnf101
Barnes,Frank,barnf102
Barnes,Honey,barnh101
Barnes,Jacob,barnj002
Barnes,Jesse,barnj102
Barnes,John,barnj001
Barnes,Junie,barnj101
Barnes,Larry,barnl001
Barnes,Lute,barnl102
Barnes,Matt,barnm001
Barnes,Red,barnr104
Barnes,Rich,barnr101
Barnes,Ron,barnr901
Barnes,Ross,barnr102
Barnes,Sam,barns101
Barnes,Scott,barns002
Barnes,Skeeter,barns001
Barnes,Virgil,barnv101
Barnett,Jack,burnj107
Barnett,Larry,barnl901
Barnett,Mike,barnm801
Barnette,Tony,barnt002
Barney,Darwin,barnd001
Barney,Ed,barne104
Barney,Rex,barnr103
Barnhart,Clyde,barnc102
Barnhart,Edgar,barne103
Barnhart,Les,barnl101
Barnhart,Tucker,barnt001
Barnhart,Vic,barnv102
Barnicle,George,barng101
Barnie,Billy,barnb101
Barnowski,Ed,barne102
Barnum,George,barng901
Barnwell,Chris,barnc001
Barojas,Salome,baros001
Baron,Steve,baros002
Barone,Daniel,barod001
Barone,Dick,barod101
Barr,Bob,barrb101
Barr,Bob,barrb103
Barr,George,barrg901
Barr,Jim,barrj101
Barr,Scotty,barrs102
Barr,Steve,barrs103
Barraclough,Kyle,barrk002
Barragan,Cuno,barrc101
Barranca,German,barrg101
Barrett,Aaron,barra001
Barrett,Bill,barrb102
Barrett,Bill,barrb105
Barrett,Bob,barrb104
Barrett,Dick,barrd101
Barrett,Frank,barrf104
Barrett,Jake,barrj002
Barrett,Jimmy,barrj103
Barrett,John,barru101
Barrett,Johnny,barrj106
Barrett,Lance,barrl901
Barrett,Marty,barrm101
Barrett,Marty,barrm001
Barrett,Michael,barrm003
Barrett,Red,barrr101
Barrett,Ted,barrt901
Barrett,Tim,barrt001
Barrett,Tom,barrt002
Barrios,Francisco,barrf101
Barrios,Jose,barrj102
Barrios,Manuel,barrm002
Barrios,Yhonathan,barry001
Barron,Frank,barrf103
Barron,Jim,barrj901
Barron,Mark,barrm901
Barron,Red,barrr103
Barron,Tony,barrt003
Barrow,Ed,barre801
Barrows,Cuke,barrc102
Barrows,Frank,barrf102
Barry,Dan,barrd901
Barry,Ed,barre101
Barry,Hardin,barrh101
Barry,Jack,barrj104
Barry,Jeff,barrj001
Barry,Kevin,barrk001
Barry,Rich,barrr102
Barry,Scott,barrs901
Barry,Shad,barrs101
Barry,Tom,barrt101
Barston,Mike,barsm901
Bartee,Kimera,bartk001
Bartell,Dick,bartd101
Barthelson,Bob,bartb103
Barthmaier,Jimmy,bartj002
Barthold,John,bartj101
Bartholomew,Les,bartl101
Bartirome,Tony,bartt101
Bartlett,Jason,bartj001
Bartley,Bill,bartb102
Bartley,Boyd,bartb104
Bartling,Irv,barti101
Barton,Bob,bartb101
Barton,Brian,bartb001
Barton,Daric,bartd001
Barton,Harry,barth101
Barton,Shawn,barts001
Barton,Vince,bartv101
Bartosch,Dave,bartd102
Bartosh,Cliff,bartc001
Bartson,Charlie,bartc101
Barzilla,Philip,barzp001
Basak,Chris,basac001
Basgall,Monty,basgm101
Bashang,Al,basha101
Bashore,Walt,bashw101
Basil,Steve,basis901
Basinski,Eddie,basie101
Baskette,Jim,baskj101
Basner,Toby,basnt901
Bass,Anthony,bassa001
Bass,Brian,bassb001
Bass,Dick,bassd102
Bass,Doc,bassd101
Bass,John,bassj101
Bass,Kevin,bassk001
Bass,Norm,bassn101
Bass,Randy,bassr101
Bassett,Charley,bassc101
Bassitt,Chris,bassc001
Bassler,Johnny,bassj102
Bastardo,Antonio,basta001
Bastian,Charlie,bastc101
Baswell,Jack,baswj901
Batch,Emil,batce101
Batchelder,Joe,batcj101
Batchelor,Rich,batcr001
Bateman,John,batej102
Bates,Aaron,batea001
Bates,Billy,bateb001
Bates,Bud,bateb101
Bates,Charlie,batec101
Bates,Del,bated101
Bates,Dick,bated102
Bates,Frank,batef101
Bates,Jason,batej001
Bates,John,batej103
Bates,Johnny,batej101
Bates,Ray,bater101
Bathe,Bill,bathb001
Batista,Miguel,batim001
Batista,Rafael,batir101
Batista,Tony,batit001
Batiste,Kevin,batik001
Batiste,Kim,batik002
Batsch,Bill,batsb101
Battam,Larry,battl101
Batten,George,battg101
Battey,Earl,batte101
Battin,Joe,battj102
Battle,Allen,batta001
Battle,Howard,batth001
Battle,Jim,battj101
Batton,Chris,battc101
Batts,Matt,battm101
Bauer,Al,bauea101
Bauer,Hank,baueh101
Bauer,Lou,bauel101
Bauer,Rick,bauer001
Bauer,Trevor,bauet001
Bauers,Russ,bauer101
Baughman,Justin,baugj001
Baumann,Buddy,baumb001
Baumann,Frank,baumf102
Baumann,Paddy,baump101
Baumer,Jim,baumj102
Baumgardner,George,baumg101
Baumgarten,Ross,baumr101
Baumgartner,Harry,baumh101
Baumgartner,John,baumj101
Baumgartner,Stan,baums101
Baumholtz,Frank,baumf101
Bausewine,George,bausg101
Bauta,Ed,baute101
Bautista,Danny,bautd001
Bautista,Denny,bautd002
